arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value,price_sensitive_flag,delivered_energy,revenue,peak_penalty,discomfort_penalty,reward
8,7.804722222222222,5.93143446962633,1,Free Period,3,0.1,1,42.70632818130958,4.2706328181309585,1,1,-3.7293671818690415
8,9.743055555555555,3.23128486785461,1,Free Period,3,0.1,1,23.265251048553193,2.3265251048553193,1,1,-5.673474895144681
8,8.911388888888888,4.73696105932328,1,Free Period,4,0.2,1,34.10611962712761,6.821223925425523,1,1,-1.1787760745744773
9,8.994722222222222,17.134295372166513,2,Free Period,2,0.0,1,64.762,0.0,1,0,-5.0
9,7.684444444444445,4.8751978925118,1,Free Period,0,-0.2,1,35.10142482608496,-7.020284965216992,1,0,-12.020284965216991
9,2.9547222222222222,4.78610295011139,1,Free Period,3,0.1,1,21.274,2.1274,1,1,-5.8726
12,4.3875,5.610358829751,2,Free Period,1,-0.1,1,31.590000000000003,-3.1590000000000007,0,0,-3.1590000000000007
13,1.5963888888888889,-2.183345890168111,0,Free Period,3,0.1,1,0.0,0.0,0,1,-3.0
6,9.389444444444443,5.045903061141431,1,Free Period,1,-0.1,1,36.3305020402183,-3.63305020402183,0,0,-3.63305020402183
7,10.27138888888889,3.56289585899302,1,Free Period,1,-0.1,1,25.652850184749745,-2.5652850184749747,0,0,-2.5652850184749747
7,8.224722222222223,0.8813962582383397,1,Free Period,3,0.1,1,6.346053059316046,0.6346053059316046,0,1,-2.3653946940683954
8,3.742777777777778,7.645842152632611,2,Free Period,4,0.2,1,26.948,5.389600000000001,1,1,-2.6103999999999994
8,3.703333333333333,4.61825880649296,1,Free Period,1,-0.1,1,26.663999999999998,-2.6664,1,0,-7.666399999999999
8,8.131666666666666,3.9240450934746,1,Free Period,1,-0.1,1,28.253124673017123,-2.8253124673017123,1,0,-7.825312467301712
9,8.849722222222223,14.984002166722,2,Free Period,3,0.1,1,63.718,6.3718,1,1,-1.6281999999999996
9,8.641666666666667,1.7980897633785,0,Free Period,1,-0.1,1,12.946246296325201,-1.2946246296325201,1,0,-6.29462462963252
9,7.470555555555555,8.22113919761476,2,Free Period,1,-0.1,1,53.788,-5.3788,1,0,-10.3788
13,2.400555555555556,9.12391367520662,2,Free Period,3,0.1,1,17.284000000000002,1.7284000000000004,0,1,-1.2715999999999996
12,0.7091666666666666,2.92008700254817,0,Free Period,3,0.1,1,5.106,0.5106,0,1,-2.4894
7,4.039444444444444,8.505263519784,2,Free Period,0,-0.2,1,29.084,-5.816800000000001,0,0,-5.816800000000001
7,5.154444444444445,1.1536592273975508,1,Free Period,4,0.2,1,8.306346437262366,1.6612692874524733,0,1,-1.3387307125475267
8,5.4783333333333335,5.25103229664441,1,Free Period,4,0.2,1,37.80743253583975,7.561486507167951,1,1,-0.4385134928320493
8,9.769444444444444,4.63159309843667,1,Free Period,1,-0.1,1,33.34747030874402,-3.3347470308744023,1,0,-8.334747030874402
